sample_id,Arrival_Time,Creation_Time,x,y,z,User,Model,Device,gt
0.0,1420000000000.0,1.42e+18,0.013748169,-0.00062561,-0.023376465,a,nexus4,nexus4_1,stand
1.0,1420000000000.0,1.42e+18,0.014816284,-0.001693726,-0.02230835,a,nexus4,nexus4_1,stand
2.0,1420000000000.0,1.42e+18,0.0158844,-0.001693726,-0.021240234,a,nexus4,nexus4_1,stand
3.0,1420000000000.0,1.42e+18,0.016952515,-0.003829956,-0.02017212,a,nexus4,nexus4_1,stand
4.0,1420000000000.0,1.42e+18,0.0158844,-0.007034302,-0.02017212,a,nexus4,nexus4_1,stand
5.0,1420000000000.0,1.42e+18,0.014816284,-0.009170532,-0.02230835,a,nexus4,nexus4_1,stand
6.0,1420000000000.0,1.42e+18,0.011611939,-0.013442993,-0.02230835,a,nexus4,nexus4_1,stand
7.0,1420000000000.0,1.42e+18,0.011611939,-0.014511108,-0.021240234,a,nexus4,nexus4_1,stand
9.0,1420000000000.0,1.42e+18,0.009475708,-0.016647339,-0.02230835,a,nexus4,nexus4_1,stand
8.0,1420000000000.0,1.42e+18,0.010543823,-0.016647339,-0.021240234,a,nexus4,nexus4_1,stand
10.0,1420000000000.0,1.42e+18,0.008407593,-0.015579224,-0.023376465,a,nexus4,nexus4_1,stand
11.0,1420000000000.0,1.42e+18,0.006271362,-0.015579224,-0.023376465,a,nexus4,nexus4_1,stand
12.0,1420000000000.0,1.42e+18,0.005203247,-0.013442993,-0.019104004,a,nexus4,nexus4_1,stand
13.0,1420000000000.0,1.42e+18,0.004135132,-0.015579224,-0.021240234,a,nexus4,nexus4_1,stand
14.0,1420000000000.0,1.42e+18,0.005203247,-0.012374878,-0.02017212,a,nexus4,nexus4_1,stand
15.0,1420000000000.0,1.42e+18,0.004135132,-0.012374878,-0.019104004,a,nexus4,nexus4_1,stand
16.0,1420000000000.0,1.42e+18,0.005203247,-0.009170532,-0.018035889,a,nexus4,nexus4_1,stand
17.0,1420000000000.0,1.42e+18,0.006271362,-0.008102417,-0.016967773,a,nexus4,nexus4_1,stand
19.0,1420000000000.0,1.42e+18,0.008407593,-0.007034302,-0.012695313,a,nexus4,nexus4_1,stand
18.0,1420000000000.0,1.42e+18,0.007339478,-0.005966187,-0.012695313,a,nexus4,nexus4_1,stand
