sample_id,Arrival_Time,Creation_Time,x,y,z,User,Model,Device,gt
0.0,1420000000000.0,1.42e+18,-5.958191,0.6880646,8.135345,a,nexus4,nexus4_1,stand
1.0,1420000000000.0,1.42e+18,-5.95224,0.6702118,8.136536,a,nexus4,nexus4_1,stand
2.0,1420000000000.0,1.42e+18,-5.9950867,0.6535492,8.204376,a,nexus4,nexus4_1,stand
3.0,1420000000000.0,1.42e+18,-5.9427185,0.6761627,8.128204,a,nexus4,nexus4_1,stand
4.0,1420000000000.0,1.42e+18,-5.991516,0.64164734,8.135345,a,nexus4,nexus4_1,stand
5.0,1420000000000.0,1.42e+18,-5.965332,0.6297455,8.128204,a,nexus4,nexus4_1,stand
6.0,1420000000000.0,1.42e+18,-5.991516,0.6356964,8.16272,a,nexus4,nexus4_1,stand
7.0,1420000000000.0,1.42e+18,-5.915344,0.63093567,8.105591,a,nexus4,nexus4_1,stand
8.0,1420000000000.0,1.42e+18,-5.984375,0.6940155,8.067505,a,nexus4,nexus4_1,stand
9.0,1420000000000.0,1.42e+18,-5.937958,0.71543884,8.090118,a,nexus4,nexus4_1,stand
10.0,1420000000000.0,1.42e+18,-5.902252,0.6678314,8.069885,a,nexus4,nexus4_1,stand
11.0,1420000000000.0,1.42e+18,-5.9498596,0.68092346,8.119873,a,nexus4,nexus4_1,stand
12.0,1420000000000.0,1.42e+18,-5.9796143,0.7416229,8.0841675,a,nexus4,nexus4_1,stand
13.0,1420000000000.0,1.42e+18,-5.9617615,0.71424866,8.155579,a,nexus4,nexus4_1,stand
14.0,1420000000000.0,1.42e+18,-5.95343,0.7130585,8.153198,a,nexus4,nexus4_1,stand
15.0,1420000000000.0,1.42e+18,-5.8665466,0.7344818,8.10083,a,nexus4,nexus4_1,stand
16.0,1420000000000.0,1.42e+18,-5.901062,0.7582855,8.081787,a,nexus4,nexus4_1,stand
17.0,1420000000000.0,1.42e+18,-5.8713074,0.7190094,8.192474,a,nexus4,nexus4_1,stand
18.0,1420000000000.0,1.42e+18,-5.932007,0.67259216,8.185333,a,nexus4,nexus4_1,stand
19.0,1420000000000.0,1.42e+18,-5.895111,0.6797333,8.132965,a,nexus4,nexus4_1,stand
20.0,1420000000000.0,1.42e+18,-5.8927307,0.68211365,8.155579,a,nexus4,nexus4_1,stand
21.0,1420000000000.0,1.42e+18,-5.848694,0.6511688,8.144867,a,nexus4,nexus4_1,stand
